# x (m); y (m); l (m); vx (m/s); vy (m/s); vz (m/s); E
3.527103890544605255e-04;1.080340076021577651e-03;1.793799833564723931e-02;3.413029833717427550e+02;2.947014139252127052e+02;5.087630033417156665e+05;5.231240671072367695e+04
3.372509286443626728e-04;4.725259807387507970e-04;5.007053650678236489e-02;-5.439138373609197288e+02;2.345704809063438745e+02;5.111856185909074266e+05;5.281182217492497148e+04
9.240249620768236586e-04;1.479922574658443495e-03;-3.542403069879605532e-03;1.847638943038337800e+02;-4.210476063815737575e+02;5.069476464349947055e+05;5.193975472546381206e+04
-5.480256009871918143e-04;-7.466391047165723324e-04;2.430968975737489435e-02;2.415678165041726118e+02;4.830907233156078462e+01;5.091201041315315524e+05;5.238583976014667860e+04
3.720901437331990049e-04;5.437468129166370080e-04;1.671810599074680381e-01;1.253121544564491217e+02;5.131223082000656177e+02;5.217898110658528749e+05;5.502562052256336756e+04
2.900832857081354278e-05;7.132017522926477500e-05;-9.567700391331201981e-02;2.226627556362006715e+02;5.149938581948399019e+01;4.988084169750141446e+05;5.028528923883599782e+04
-7.516403050588889908e-04;-1.071711830015158179e-04;-7.273978094565587693e-02;-6.661694489721087109e+01;3.258997601497921437e+02;5.008211261471523321e+05;5.069192543396322435e+04
-4.920609630030344135e-04;8.886098956522077300e-04;3.404029801539056044e-02;2.493626445995922722e+02;3.274666576450705406e+02;5.099899008787106141e+05;5.256500981484044314e+04
4.054120618252276637e-05;1.142848441817527136e-03;5.021077247717598696e-02;-1.220737742471380471e+02;5.916716780717240454e+02;5.112178947807224467e+05;5.281849429096528911e+04
-7.980319826410215475e-04;-1.499828867750448895e-04;1.036324175758867039e-01;-1.084360826168264111e+02;4.834849071719193603e+02;5.163704573522746214e+05;5.388854895266262611e+04
8.310078193154769277e-06;-1.985625374014814322e-03;8.519433898272382732e-02;-1.157814220860075380e+02;-1.896603854970123280e+02;5.145181235442218604e+05;5.350258308196403959e+04
1.320748349948034804e-03;3.992478544233216803e-04;-1.166171201563995230e-01;4.087013526891126389e+02;5.503858081438941099e+02;4.972110062819003942e+05;4.996381685484079208e+04
-2.767068618019064442e-03;2.768799667421399571e-04;5.298385322709119050e-02;-7.893778286018566632e+02;2.476717738704198268e+02;5.117937558554130374e+05;5.293762043272992014e+04
